PBS	Lo	Med	Hi	AveExpr	F	P.Value	adj.P.Val
Kmt2c	8.12106647440143	8.37537178776624	8.37500467546539	8.30146895228161	8.29322797247867	18698.6618098318	1.98336441166116e-26	5.32020896175556e-24
Sec22b	7.29761063472704	7.48333398973991	7.24904368426752	7.28670420459891	7.32917312833334	18650.9461706635	2.01996407300369e-26	5.32020896175556e-24
Fam120a	7.8308753722736	8.00093749607958	7.86856840889653	7.89282435476699	7.89830140800417	18641.6196891869	2.02720742487774e-26	5.32020896175556e-24
Marf1	7.12591412941583	7.3216875666836	7.17356858872943	7.15740565191615	7.19464398418625	18595.9101155992	2.06313832506849e-26	5.32020896175556e-24
M6pr	7.32323634020722	7.12442104148154	7.17296132355197	7.07371609797245	7.1735837008033	18505.7918272261	2.13612468024931e-26	5.32020896175556e-24
Ctsb	8.77868582026454	8.62735810064898	8.56500910361683	8.61411313942417	8.64629154098863	18501.3126274221	2.13982841859313e-26	5.32020896175556e-24
Fth1	8.75200294460339	8.58043190603396	8.70462612158832	8.58201537337657	8.65476908640056	18495.2368967099	2.14486399122178e-26	5.32020896175556e-24
Gtf2i	7.8387472468508	7.79091354951295	7.76269220856849	7.79464452836606	7.79674938332457	18451.8276057822	2.1812371802062e-26	5.33201848094753e-24
Atp1b1	7.67839997910612	7.81921286204316	7.82200148095554	7.72870968914546	7.76208100281257	18373.689255896	2.24849641840517e-26	5.41791272703427e-24
Atp8a1	7.1614250309418	7.43207617450248	7.38232928163912	7.31865477779032	7.32362131621843	18288.1400095018	2.32486044562773e-26	5.46538239409856e-24
Clcn3	7.95784158002709	7.86830501363638	7.88023570794589	7.83445058695074	7.88520822214002	18274.0399690284	2.33772827516756e-26	5.46538239409856e-24
Tspan3	8.04378921636002	8.01371775217715	8.03937720939503	7.92833767009271	8.00630546200622	18244.0100634687	2.36540531670834e-26	5.46538239409856e-24
Cnpy2	7.30110174471518	7.45185954056354	7.15889679313404	7.03666514624426	7.23713080616426	18182.2712141865	2.42348826285377e-26	5.52391574723711e-24
Gprasp1	9.22277487202474	9.06051964221127	9.2790085039472	9.19483001523698	9.18928325835505	18028.0289309535	2.57583774391277e-26	5.67586486189872e-24
Rps21	8.22699041892712	7.88324568023663	7.94452409815167	7.84918811545591	7.97598707819283	18024.4312501868	2.57951933918149e-26	5.67586486189872e-24
Prkar1a	9.01174986940583	8.96039706691706	9.04217400321912	8.92739410266213	8.98542876055103	18013.1482270806	2.59110449022471e-26	5.67586486189872e-24
Rad23b	7.12269914545255	7.00965877835548	6.97117580769458	6.95981481758273	7.01583713727133	17916.8084475091	2.69247562548478e-26	5.82230594551947e-24
Sdf4	8.37060740766857	8.14711848206844	8.1264178317594	8.09324754006403	8.18434781539011	17854.0005460742	2.76099685064926e-26	5.89490302277228e-24
Amfr	7.36410088926592	7.10459329280996	7.22675114062955	7.22519354295248	7.23015971641448	17754.1445349455	2.87406886414582e-26	6.05961494144344e-24
Asph	7.11963541132405	7.31506507497222	7.23090280314522	7.21220985900797	7.21945328711236	17712.6582713547	2.92259080752346e-26	6.08584433956767e-24
Nf1	7.47388863217021	7.61534778076357	7.63066360584916	7.58507449231282	7.57624362777394	17542.4500831938	3.13168335250845e-26	6.37193447063312e-24
Rabgap1	6.73149555579667	7.02023951750374	6.89491659645693	6.88469350776557	6.88283629438073	17539.4378912958	3.13553424475336e-26	6.37193447063312e-24
Atxn7l3b	6.83125634577923	6.80972146445683	6.87559975866999	6.76515486055677	6.8204331073657	17465.4648956538	3.2318190074991e-26	6.48941561898659e-24
Phf3	7.08603427352159	7.28834908757604	7.23084924436344	7.18705639111382	7.19807224914372	17419.021824644	3.29399125335118e-26	6.53427192994186e-24
Cct2	7.3917527078382	7.17523587875215	7.20982245874438	7.1545342720622	7.23283632934924	17391.3824581012	3.33163802676825e-26	6.53427192994186e-24
Rpsa	9.56390479819284	9.26093074281773	9.27841616483175	9.13131098120955	9.30864067176297	17323.0440488283	3.42684346260453e-26	6.5704267929179e-24
Ddx6	8.67673901486695	8.71733222903692	8.68200858067192	8.67831909031199	8.68859972872194	17312.5170872882	3.44178295076446e-26	6.5704267929179e-24
Ralgapb	6.99803669514804	7.11710942763406	7.04341496133704	7.00031603969636	7.03971928095387	17294.9108139715	3.46693534457635e-26	6.5704267929179e-24
Vps13b	7.79269665164079	8.03391049197464	7.9676961639027	7.85114547456254	7.91136219552017	17227.0977275957	3.56579029851481e-26	6.68268721833881e-24
Cd81	7.87414178101674	7.72788480609048	7.77969877487708	7.81486148808631	7.79914671251765	17175.5049637264	3.6431541044063e-26	6.7526461845078e-24
Akap9	8.18086646220207	8.44741933880681	8.32845454228115	8.24403107266843	8.30019285398961	17017.6902725617	3.8919401471789e-26	7.13536461548548e-24
Rpl8	9.1977295451793	8.69492676434829	8.81047762573773	8.74797664778279	8.86277764576203	16988.0137303921	3.9408567939792e-26	7.14735823054271e-24
Nbea	8.19642899423397	8.37986335430026	8.36096079821429	8.2946338500659	8.30797174920361	16890.8863150552	4.10592306812409e-26	7.34574494661139e-24
Prkacb	7.70553408140359	7.75614460795858	7.74586321444846	7.733079649918	7.73515538843216	16872.9023120364	4.13734374772089e-26	7.34574494661139e-24
Mon2	7.25096645341384	7.40351674978488	7.30251420559819	7.29159244477618	7.31214746339327	16778.9417996521	4.3060295681121e-26	7.56560424222362e-24
Mrfap1	8.30919128271989	8.23140149058208	8.24506839453759	8.19961121314216	8.24631809524543	16683.5598258443	4.48533240617738e-26	7.63234169955482e-24
Cand1	7.91578244349315	8.05014079365171	7.97221129295639	7.86269816305665	7.95020817328947	16668.0373723267	4.51531004856556e-26	7.63234169955482e-24
Saraf	8.48855573027812	8.29949525600975	8.33115239365567	8.26701289851786	8.34655406961535	16661.3745253299	4.52824762564867e-26	7.63234169955482e-24
Pbx1	7.01628396453133	7.25327689819871	7.17045625935603	7.22744697096345	7.16686602326238	16641.0821741215	4.56791131363275e-26	7.63234169955482e-24
Cpq	7.45781507223908	7.47143597533333	7.35037743043815	7.29459956304912	7.39355701026492	16639.3246627357	4.57136515908035e-26	7.63234169955482e-24
Araf	6.52994791245314	6.46259960251599	6.52336024536746	6.47626591405744	6.49804341859851	16616.875637524	4.61574461379739e-26	7.63234169955482e-24
Eif4a2	9.16085178982824	9.38170972010023	9.23727177288105	9.07256457076368	9.2130994633933	16594.3524736861	4.66076477769696e-26	7.63234169955482e-24
Dlg1	6.7296274786802	6.84971352447534	6.76976698002952	6.78364803027439	6.78318900336486	16566.1480701957	4.71784825296211e-26	7.65153331564537e-24
Copa	9.16896604681452	8.9872926016411	8.94796625953238	8.9443211524839	9.01213651511798	16478.2333238474	4.90095937730523e-26	7.87280779209593e-24
Dst	8.90404783389185	8.83826069093615	8.89889795117623	8.92869130671547	8.89247444567993	16395.8696562015	5.07988968905041e-26	8.08325465898238e-24
Gnb1	7.92176876629056	7.81055878066807	7.76393550956488	7.78402136268239	7.82007110480147	16294.1356547107	5.31126893982776e-26	8.32089866762581e-24
Tsc22d1	7.78833402474008	7.68796755625512	7.79652584479941	7.71295416927599	7.74644539876765	16287.0181966877	5.32790096699821e-26	8.32089866762581e-24
Mycbp2	8.41839722302107	8.56657148687676	8.63690001884913	8.5014236120304	8.53082308519434	16118.7927883004	5.73883408315062e-26	8.88045086977078e-24
Ensa	6.62555445290717	6.5345000425965	6.57056714715005	6.51303430209748	6.5609139861878	16083.9360563465	5.82843124416019e-26	8.9371045268409e-24
Sri	5.79325804642873	5.74574124004524	5.78820347065875	5.79010132269006	5.77932601995569	16030.8111943607	5.9680694933105e-26	9.06877731024037e-24
Hadhb	6.40271437169392	6.44508364263143	6.3821415759481	6.3265198401403	6.38911485760343	15988.8996957675	6.08092731832623e-26	9.15776795341148e-24
Calm2	8.30237250363938	8.20696629352468	8.15042320865963	8.14145692074795	8.20030473164291	15873.3857321016	6.40478352975549e-26	9.54813185582362e-24
Calm1	8.81904736487575	8.77301988373647	8.65661642413435	8.70069644915023	8.7373450304742	15827.9711630406	6.53745828693952e-26	9.54813185582362e-24
Actb	9.97295019008239	9.58957389992306	9.70906825045813	9.65508337160287	9.73166892801661	15822.352068751	6.55409069612498e-26	9.54813185582362e-24
Ccni	7.14222421234054	7.33932382351346	7.26820838582159	7.20542002981835	7.23879411287348	15818.1468535792	6.56656960500113e-26	9.54813185582362e-24
Ywhaq	7.33370021168353	7.21880262024958	7.24548489354892	7.1048172140685	7.22570123488763	15778.5279604434	6.68547689421953e-26	9.57327084052507e-24
Rpl27a	7.98831152408975	7.70878364589506	7.71780410714887	7.60639599945263	7.75532381914658	15768.8927136754	6.71476469490263e-26	9.57327084052507e-24
Arhgap32	6.65260852003609	6.79481208803366	6.73736444777271	6.72620223042126	6.72774682156593	15756.0170685155	6.75413072877502e-26	9.57327084052507e-24
Trim35	7.45067544894304	7.23205605093289	7.30957256478964	7.28276473223686	7.31876719922561	15705.7782906884	6.910266725705e-26	9.61813223918095e-24
Derl1	6.86294044686716	6.98669995598667	6.87374509039807	6.84665702444216	6.89251062942352	15701.5175052374	6.92369687833196e-26	9.61813223918095e-24
Actg1	8.21656146832906	7.95820092777496	8.19231978270544	8.03843915520979	8.10138033350481	15691.0392506037	6.95685144471498e-26	9.61813223918095e-24
Rpl26	8.39211587208611	8.01306352788523	8.12402234140431	7.91875642052367	8.11198954047483	15621.9522478803	7.18003655894005e-26	9.77337215347612e-24
Cpd	6.98187961461865	7.00144281212684	7.0638001464548	6.99483211172804	7.01048867123208	15620.4361868714	7.18502488309148e-26	9.77337215347612e-24
Rps9	9.07734002982592	8.61073245209008	8.72452250776048	8.61869480343963	8.75782244827903	15512.3665944604	7.55100074499936e-26	1.01890183652723e-23
Kif1b	8.36388811415624	8.39678761467187	8.40543743242104	8.38285239119174	8.38724138811022	15450.8106640358	7.76893542702243e-26	1.03998915752053e-23
Smg7	6.67318950340682	6.61000209132053	6.67465177894495	6.62417539217709	6.64550469146235	15395.6404176574	7.97037062519997e-26	1.0585530813799e-23
Ccnd2	9.05653142211476	9.00090951655246	9.07967107723987	9.01191749802069	9.03725737848194	15349.215995799	8.1444939944991e-26	1.07322797035325e-23
Wnk1	8.37001078623034	8.60951393718593	8.64446503223064	8.62867368907076	8.56316586117942	15320.7629681988	8.25335397904966e-26	1.07643944144436e-23
Nisch	8.41894207563457	8.25059327487083	8.26519245713443	8.33683942375153	8.31789180784784	15243.1765245417	8.55872181070241e-26	1.07643944144436e-23
Ociad1	7.00624694001259	6.93904817261866	6.95997442025359	6.85472456644572	6.93999852483264	15241.7826204547	8.56432454803394e-26	1.07643944144436e-23
Zzef1	6.70547952140775	6.71373848309269	6.66347969593452	6.65688230803014	6.68489500211628	15239.0677491899	8.57524885935072e-26	1.07643944144436e-23
Npepps	6.26160033182429	6.3005367103617	6.31503891541559	6.35002576129417	6.30680042972394	15234.2218606628	8.59478762129581e-26	1.07643944144436e-23
Spg20	6.77009894283082	6.82491127129818	6.82704716612227	6.68331901924751	6.77634409987469	15228.8061716667	8.61668389976252e-26	1.07643944144436e-23
Twsg1	7.30709066495298	7.37767473424369	7.32683342645894	7.2456235559232	7.3143055953947	15219.9298467442	8.65270958286346e-26	1.07643944144436e-23
Ppp6r3	7.06600814527039	7.2127129005028	7.16820609066567	7.18525175809379	7.15804472363316	15208.9234875002	8.69761891615397e-26	1.07643944144436e-23
Rps15	8.45361719678891	8.07529659583343	8.13520946175267	8.05530230385761	8.17985638955815	15197.809181021	8.74323848211755e-26	1.07643944144436e-23
9530068E07Rik	7.26129364757565	7.04839727483234	7.15470132557004	7.14361588397212	7.15200203298754	15141.5563976569	8.97835696696216e-26	1.09107077633224e-23
Rmnd5a	8.1590436433661	8.42171559849257	8.30603300078807	8.20968495982964	8.27411930061909	15138.4726292372	8.99145300943743e-26	1.09107077633224e-23
Atp5c1	6.83653949856054	6.7210112583583	6.64026100240845	6.52774029641347	6.68138801393519	15101.303318257	9.1510272040853e-26	1.10250268465219e-23
Camsap2	7.02193980202762	7.22803377490348	7.2681722422316	7.07233051900635	7.14761908454226	15074.9314216798	9.26620424298576e-26	1.1084614678471e-23
Ddx1	6.62972233174271	6.67783233331327	6.61515074638774	6.48746761592657	6.60254325684257	15057.0449499878	9.34526222498063e-26	1.11004604189259e-23
Atxn10	6.92417051746409	6.82079296424949	6.7660955405376	6.72115570402897	6.80805368157004	15016.6152922657	9.52680987527793e-26	1.12369721794624e-23
Wdr1	6.89741611920441	6.64164754591346	6.78168093840099	6.69307872041091	6.75345583098244	14995.3892991899	9.62373148107377e-26	1.12721624394813e-23
Dock7	6.88980943107619	6.84806819854049	6.8410666631947	6.92089142390462	6.874958929179	14967.6136117563	9.75226227701033e-26	1.12721624394813e-23
Celf1	6.94806235313324	7.08467615213588	7.07679038633838	7.05965991900215	7.04229720265241	14966.5691408463	9.75713355169425e-26	1.12721624394813e-23
Zbtb20	9.58845192099541	10.0132471697501	9.97502161347256	9.91686783953755	9.8733971359389	14918.891423098	9.98247717102028e-26	1.14540437036462e-23
Mdh1	7.79445134402244	7.63546876936643	7.64072171595546	7.58636367827796	7.66425137690557	14883.2077799552	1.015501592775e-25	1.15732874090107e-23
Rps3a1	9.12499419338403	8.65689571727243	8.77524704420572	8.62837909531114	8.79637901254333	14832.7165023364	1.0404991988495e-25	1.17785905952983e-23
Zyg11b	7.20400198883777	7.35888006465856	7.29903236569966	7.26014872479521	7.2805157859978	14785.8468046692	1.06433315282474e-25	1.18496198564563e-23
Ppia	7.81041274353477	7.38810014679698	7.58534572662559	7.46133141888867	7.5612975089615	14777.5254279949	1.06862942981744e-25	1.18496198564563e-23
Agtpbp1	6.74304496043784	6.79396692702657	6.79570347009505	6.7423450942999	6.76876511296484	14761.8632758363	1.07676942680194e-25	1.18496198564563e-23
Serinc3	7.71761583876565	7.88005384178232	7.84893845388448	7.74207271281478	7.79717021181181	14761.7502195619	1.07682844120457e-25	1.18496198564563e-23
Uhmk1	7.02225477122082	7.08460855423624	7.12242681910016	7.07868170217853	7.07699296168394	14752.0598983005	1.08190043154934e-25	1.18496198564563e-23
Wdfy3	7.18708931079036	7.15996081927537	7.21984629102957	7.23992240828453	7.20170470734496	14683.8391029578	1.11838825805425e-25	1.21212966697938e-23
Rps25	8.06434204814025	7.70894231135912	7.75965459188415	7.53397712024035	7.76672901790597	14678.9108029579	1.12107801060522e-25	1.21212966697938e-23
Ash1l	7.55103161105511	7.73788226227901	7.7164864335827	7.71562442798641	7.68025618372581	14657.6569838355	1.13276262969311e-25	1.21696224681743e-23
Ppp1r9a	7.0394929811511	7.18410145416114	7.1691379867628	7.14371466067726	7.13411177068807	14622.6441102828	1.1523154827654e-25	1.22336517894487e-23
Gabrb3	7.30823291633874	7.6261886155992	7.4080667772846	7.32349562754199	7.41649598419113	14621.0256383303	1.15322857326279e-25	1.22336517894487e-23
Rpl30	7.41826586684006	7.18687042859473	7.28120402651206	7.11494789300054	7.25032205373685	14563.4412251519	1.18625886996961e-25	1.25053927248609e-23
Sec62	7.65282394502835	7.75743253756338	7.67637125723684	7.57110446520282	7.66443305125785	14535.4554936312	1.20269988356411e-25	1.255160797907e-23
Ric8b	6.15579669720447	6.03312285600323	6.13404760662324	6.06408938043244	6.09676413506584	14530.6890461122	1.20552587455347e-25	1.255160797907e-23
Lonp2	6.59669038602878	6.43409423706121	6.46802569426381	6.47043550077745	6.49231145453281	14502.6199532778	1.22232214241727e-25	1.26484095559215e-23
Fam114a1	7.47356506545903	7.72056930018788	7.41493270618938	7.35474825136093	7.49095383079931	14437.9537926569	1.26204265862421e-25	1.27548122444547e-23
Hp1bp3	7.39100817913006	7.23578830917432	7.24922139657424	7.32680136814948	7.30070481325703	14431.5560786531	1.26605173108484e-25	1.27548122444547e-23
Trappc11	6.29449494994924	6.36629391400976	6.2882086946998	6.29887972193855	6.31196932014934	14431.1739214888	1.26629166560374e-25	1.27548122444547e-23
P4hb	9.5910992159597	9.56221739711244	9.37099481259148	9.40069080330144	9.48125055724127	14420.5782403562	1.2729647675647e-25	1.27548122444547e-23
Larp4b	6.62591886853687	6.6832665680618	6.74488132034544	6.69736852252779	6.68785881986797	14419.9113957638	1.27338608136841e-25	1.27548122444547e-23
Mapk1	7.14790368179281	7.25522768059274	7.26264997247559	7.21826681934658	7.22101203855193	14412.6617675076	1.27797668187161e-25	1.27548122444547e-23
Nr2c2	6.33053296257349	6.56456528778431	6.45538575067793	6.39388297856891	6.43609174490116	14399.4109439968	1.2864161818339e-25	1.27635186699955e-23
Caprin1	8.18212674659631	8.31417330469926	8.25931037962054	8.16598244313463	8.23039821851268	14365.3551186857	1.30839943721752e-25	1.29057153845309e-23
Paics	6.30185628750855	6.17654423185129	6.16322422469905	6.14114112972989	6.19569146844719	14322.9921302695	1.33634505641193e-25	1.30820953465787e-23
Tcaf1	7.3642240379114	7.29834215338899	7.31987674046862	7.27436246079023	7.31420134813981	14313.22705326	1.34288288297178e-25	1.30820953465787e-23
Pcmt1	6.1974763249394	6.1668013073054	6.20562184875486	6.21375518204912	6.1959136657622	14303.3257320911	1.34954917312189e-25	1.30820953465787e-23
Tnpo3	6.36678382277583	6.29463966628146	6.24731252463094	6.27229239168272	6.29525710134274	14280.5043033223	1.36505836561743e-25	1.31568225444967e-23
Polr2m	6.80096861067069	6.73412632919733	6.70839622547154	6.73180613985299	6.74382432629814	14250.5022133335	1.3857574927342e-25	1.32804384261067e-23
Tcp1	7.37860291158779	7.35822149678856	7.30511386318053	7.20128407399612	7.31080558638825	14227.6336305323	1.40177544225059e-25	1.33580488047688e-23
Zc3h14	6.67775653170596	6.59381542349685	6.65435888391993	6.65773783694435	6.64591716901677	14191.6832726516	1.42738482762688e-25	1.34464032089283e-23
Huwe1	8.89831430916438	8.85752913046902	8.90699851798095	8.8670173000824	8.88246481442419	14178.564388383	1.43686259818838e-25	1.34464032089283e-23
Rps2	8.60537544182749	8.17576322557243	8.23710950694397	8.35333580123717	8.34289599389527	14174.6909736932	1.43967465635405e-25	1.34464032089283e-23
Zfhx4	7.14843572677789	7.31317600314183	7.31385849198414	7.25759101756897	7.25826530986821	14144.4898216474	1.46181676957308e-25	1.34464032089283e-23
Ddi2	6.20116176244473	6.13545464482178	6.23562397585106	6.15804414768024	6.18257113269945	14139.7962418575	1.46529261778445e-25	1.34464032089283e-23
Gapvd1	6.63768308761124	6.74395528129933	6.75588532334022	6.65033174888747	6.69696386028457	14114.3043820552	1.48433601349652e-25	1.34464032089283e-23
