KEY,logFC_lo,FDR_lo,logFC_med,FDR_med,logFC_hi,FDR_hi,SYMBOL,pass_lo,pass_med,pass_hi,pass_any,mean_abs_logFC,dir_consistent,in_GO_focus,score
Gm43896,2.2713630319969553,0.019552599363433953,NA,NA,NA,NA,Gm43896,TRUE,FALSE,FALSE,TRUE,2.2713630319969553,FALSE,TRUE,2.492045934208659
Gm43300,2.264608437150919,0.025691323152450474,NA,NA,NA,NA,Gm43300,TRUE,FALSE,FALSE,TRUE,2.264608437150919,FALSE,TRUE,2.4894315502901074
Gm45265,2.25977613849048,0.014446457875383243,NA,NA,NA,NA,Gm45265,TRUE,FALSE,FALSE,TRUE,2.25977613849048,FALSE,TRUE,2.487561196228101
C79798,2.2349725698894556,0.02294419070133933,NA,NA,NA,NA,C79798,TRUE,FALSE,FALSE,TRUE,2.2349725698894556,FALSE,TRUE,2.4779609089642003
Mir1955,2.220889866084973,0.014446457875383243,NA,NA,NA,NA,Mir1955,TRUE,FALSE,FALSE,TRUE,2.220889866084973,FALSE,TRUE,2.472510160962968
Gm27010,2.2158711679460077,0.01887885983388172,NA,NA,NA,NA,Gm27010,TRUE,FALSE,FALSE,TRUE,2.2158711679460077,FALSE,TRUE,2.4705676604865294
Gm48692,2.202208687195219,0.01721800396428804,NA,NA,NA,NA,Gm48692,TRUE,FALSE,FALSE,TRUE,2.202208687195219,FALSE,TRUE,2.465279560937029
C230086J09Rik,2.1889635174199205,0.022752270948000673,NA,NA,NA,NA,C230086J09Rik,TRUE,FALSE,FALSE,TRUE,2.1889635174199205,FALSE,TRUE,2.4601529827116377
Gm42480,2.165413699341636,0.03192077341889868,NA,NA,NA,NA,Gm42480,TRUE,FALSE,FALSE,TRUE,2.165413699341636,FALSE,TRUE,2.451037962925542
Gm48967,2.155048266294189,0.01910297949995371,NA,NA,NA,NA,Gm48967,TRUE,FALSE,FALSE,TRUE,2.155048266294189,FALSE,TRUE,2.44702599446766
Gm26543,2.153231310595842,0.03490625540150805,NA,NA,NA,NA,Gm26543,TRUE,FALSE,FALSE,TRUE,2.153231310595842,FALSE,TRUE,2.4463227369271623
Gm43031,2.148445761013457,0.03170882899706815,NA,NA,NA,NA,Gm43031,TRUE,FALSE,FALSE,TRUE,2.148445761013457,FALSE,TRUE,2.4444704772202814
Gm43665,2.1455108869644555,0.026888374036746116,NA,NA,NA,NA,Gm43665,TRUE,FALSE,FALSE,TRUE,2.1455108869644555,FALSE,TRUE,2.443334526405824
Gm43373,2.1409233326823713,0.01887885983388172,NA,NA,NA,NA,Gm43373,TRUE,FALSE,FALSE,TRUE,2.1409233326823713,FALSE,TRUE,2.441558901307066
Gm15902,2.1365435185003046,0.027665571864185983,NA,NA,NA,NA,Gm15902,TRUE,FALSE,FALSE,TRUE,2.1365435185003046,FALSE,TRUE,2.439863682567106
Gm48966,2.129600857252367,0.04840813168074894,NA,NA,NA,NA,Gm48966,TRUE,FALSE,FALSE,TRUE,2.129600857252367,FALSE,TRUE,2.4371765070469915
Sorbs2os,2.107601378461079,0.029771745765558605,NA,NA,NA,NA,Sorbs2os,TRUE,FALSE,FALSE,TRUE,2.107601378461079,FALSE,TRUE,2.4286615502095414
AC154782.1,2.105384281335655,0.02172821672033875,NA,NA,NA,NA,AC154782.1,TRUE,FALSE,FALSE,TRUE,2.105384281335655,FALSE,TRUE,2.42780341686436
Gm26493,2.0915810886720854,0.04045105998642821,NA,NA,NA,NA,Gm26493,TRUE,FALSE,FALSE,TRUE,2.0915810886720854,FALSE,TRUE,2.422460854394387
Gm43824,2.0808432049598844,0.016992098797002357,NA,NA,NA,NA,Gm43824,TRUE,FALSE,FALSE,TRUE,2.0808432049598844,FALSE,TRUE,2.418304727915101
Gm44829,2.0770673580734775,0.02818524859698341,NA,NA,NA,NA,Gm44829,TRUE,FALSE,FALSE,TRUE,2.0770673580734775,FALSE,TRUE,2.4168432763249252
Gm43528,2.068217836243261,0.02215598869797458,NA,NA,NA,NA,Gm43528,TRUE,FALSE,FALSE,TRUE,2.068217836243261,FALSE,TRUE,2.4134180453396255
Gm43807,2.0544687631888703,0.049555249248690474,NA,NA,NA,NA,Gm43807,TRUE,FALSE,FALSE,TRUE,2.0544687631888703,FALSE,TRUE,2.408096430008473
Gm37138,2.050052029903506,0.02294419070133933,NA,NA,NA,NA,Gm37138,TRUE,FALSE,FALSE,TRUE,2.050052029903506,FALSE,TRUE,2.4063869216312876
5330437M03Rik,2.045683284737588,0.04809154983640136,NA,NA,NA,NA,5330437M03Rik,TRUE,FALSE,FALSE,TRUE,2.045683284737588,FALSE,TRUE,2.404695987183498
Gm38104,2.044894550171608,0.02386357289135216,NA,NA,NA,NA,Gm38104,TRUE,FALSE,FALSE,TRUE,2.044894550171608,FALSE,TRUE,2.4043907053698135
Gm37964,2.0358132344542974,0.035593443536618245,NA,NA,NA,NA,Gm37964,TRUE,FALSE,FALSE,TRUE,2.0358132344542974,FALSE,TRUE,2.400875757943387
Gm7968,2.0342749661401527,0.048757932508943246,NA,NA,NA,NA,Gm7968,TRUE,FALSE,FALSE,TRUE,2.0342749661401527,FALSE,TRUE,2.400280367096921
AC126030.1,2.031196013649913,0.04292658814837457,NA,NA,NA,NA,AC126030.1,TRUE,FALSE,FALSE,TRUE,2.031196013649913,FALSE,TRUE,2.3990886503381885
Gm7233,2.030083701576704,0.012955048460223124,NA,NA,NA,NA,Gm7233,TRUE,FALSE,FALSE,TRUE,2.030083701576704,FALSE,TRUE,2.39865812698884
Lrrc19,2.0221254786006053,0.024865987535605465,NA,NA,NA,NA,Lrrc19,TRUE,FALSE,FALSE,TRUE,2.0221254786006053,FALSE,TRUE,2.3955778755980153
4633401B06Rik,2.0181499656588775,0.014446457875383243,NA,NA,NA,NA,4633401B06Rik,TRUE,FALSE,FALSE,TRUE,2.0181499656588775,FALSE,TRUE,2.3940391427295373
Gm37960,2.0161585446695254,0.024347343788436716,NA,NA,NA,NA,Gm37960,TRUE,FALSE,FALSE,TRUE,2.0161585446695254,FALSE,TRUE,2.3932683579336613
Gm45719,1.994056127263017,0.025877919637217812,NA,NA,NA,NA,Gm45719,TRUE,FALSE,FALSE,TRUE,1.994056127263017,FALSE,TRUE,2.3847135584311268
Gm45264,1.9770999121196982,0.021437920527451037,NA,NA,NA,NA,Gm45264,TRUE,FALSE,FALSE,TRUE,1.9770999121196982,FALSE,TRUE,2.3781506102157786
Gm42995,1.976917695699164,0.029771745765558605,NA,NA,NA,NA,Gm42995,TRUE,FALSE,FALSE,TRUE,1.976917695699164,FALSE,TRUE,2.378080082865079
Gm48586,1.9739767888419748,0.023358817942350476,NA,NA,NA,NA,Gm48586,TRUE,FALSE,FALSE,TRUE,1.9739767888419748,FALSE,TRUE,2.376941797036151
Gm37342,1.9727298926167443,0.04125419532817999,NA,NA,NA,NA,Gm37342,TRUE,FALSE,FALSE,TRUE,1.9727298926167443,FALSE,TRUE,2.376459182532446
Gm37402,1.966642588941872,0.0321593628078573,NA,NA,NA,NA,Gm37402,TRUE,FALSE,FALSE,TRUE,1.966642588941872,FALSE,TRUE,2.3741030754382857
Pard3bos1,1.9662080034084681,0.026098870520361705,NA,NA,NA,NA,Pard3bos1,TRUE,FALSE,FALSE,TRUE,1.9662080034084681,FALSE,TRUE,2.3739348679505436
Gm44601,1.964093196659217,0.015184566821427152,NA,NA,NA,NA,Gm44601,TRUE,FALSE,FALSE,TRUE,1.964093196659217,FALSE,TRUE,2.3731163263677972
Gm37879,1.9612137248733519,0.044907100485220834,NA,NA,NA,NA,Gm37879,TRUE,FALSE,FALSE,TRUE,1.9612137248733519,FALSE,TRUE,2.3720018191467895
Gm10933,1.958958086062118,0.024816726861887614,NA,NA,NA,NA,Gm10933,TRUE,FALSE,FALSE,TRUE,1.958958086062118,FALSE,TRUE,2.371128768139502
Gm49344,1.9574476611280893,0.030572045101475105,NA,NA,NA,NA,Gm49344,TRUE,FALSE,FALSE,TRUE,1.9574476611280893,FALSE,TRUE,2.37054415414744
Gm1604a,-1.951744048663313,0.023358817942350476,NA,NA,NA,NA,Gm1604a,TRUE,FALSE,FALSE,TRUE,1.951744048663313,FALSE,TRUE,2.368336555757684
Gm13595,1.9485035104650537,0.027095473028206148,NA,NA,NA,NA,Gm13595,TRUE,FALSE,FALSE,TRUE,1.9485035104650537,FALSE,TRUE,2.367082296820458
Gm28988,1.9481815749878315,0.031870211377747155,NA,NA,NA,NA,Gm28988,TRUE,FALSE,FALSE,TRUE,1.9481815749878315,FALSE,TRUE,2.3669576908368803
Gm37058,1.9472844332276582,0.04659913826080856,NA,NA,NA,NA,Gm37058,TRUE,FALSE,FALSE,TRUE,1.9472844332276582,FALSE,TRUE,2.36661044973006
4930509H03Rik,1.9467936610276197,0.02103218460957241,NA,NA,NA,NA,4930509H03Rik,TRUE,FALSE,FALSE,TRUE,1.9467936610276197,FALSE,TRUE,2.366420495043406
Gm37215,1.9450180849349636,0.040432766948013954,NA,NA,NA,NA,Gm37215,TRUE,FALSE,FALSE,TRUE,1.9450180849349636,FALSE,TRUE,2.36573325358946
Esco2,1.9410165845892053,0.033941352935390856,NA,NA,NA,NA,Esco2,TRUE,FALSE,FALSE,TRUE,1.9410165845892053,FALSE,TRUE,2.364184462227064
Gm49199,1.9397676265348094,0.03184283150289925,NA,NA,NA,NA,Gm49199,TRUE,FALSE,FALSE,TRUE,1.9397676265348094,FALSE,TRUE,2.3637010496868913
Gm44286,1.9346265988031544,0.015841094422099918,NA,NA,NA,NA,Gm44286,TRUE,FALSE,FALSE,TRUE,1.9346265988031544,FALSE,TRUE,2.3617112012159125
Gm42639,1.9320500287165938,0.026787173194775332,NA,NA,NA,NA,Gm42639,TRUE,FALSE,FALSE,TRUE,1.9320500287165938,FALSE,TRUE,2.3607139329040643
Gm47018,1.9290076321847063,0.02648417965349575,NA,NA,NA,NA,Gm47018,TRUE,FALSE,FALSE,TRUE,1.9290076321847063,FALSE,TRUE,2.359536365226339
Gm45457,1.9257748839264663,0.031902844993628804,NA,NA,NA,NA,Gm45457,TRUE,FALSE,FALSE,TRUE,1.9257748839264663,FALSE,TRUE,2.358285121406137
Gm37212,1.9256937281982243,0.014446457875383243,NA,NA,NA,NA,Gm37212,TRUE,FALSE,FALSE,TRUE,1.9256937281982243,FALSE,TRUE,2.3582537098654526
Gm42840,1.9218210262563753,0.02294419070133933,NA,NA,NA,NA,Gm42840,TRUE,FALSE,FALSE,TRUE,1.9218210262563753,FALSE,TRUE,2.3567547702682012
Gm38374,1.9186356295686477,0.04221890065415655,NA,NA,NA,NA,Gm38374,TRUE,FALSE,FALSE,TRUE,1.9186356295686477,FALSE,TRUE,2.3555218539994347
Tex47,1.9062553221625662,0.01741311926711652,NA,NA,NA,NA,Tex47,TRUE,FALSE,FALSE,TRUE,1.9062553221625662,FALSE,TRUE,2.350730023056654
Gm19035,1.905976328938786,0.022700537460215667,NA,NA,NA,NA,Gm19035,TRUE,FALSE,FALSE,TRUE,1.905976328938786,FALSE,TRUE,2.3506220379866
Gm48225,1.9050847410386602,0.02294419070133933,NA,NA,NA,NA,Gm48225,TRUE,FALSE,FALSE,TRUE,1.9050847410386602,FALSE,TRUE,2.350276946516098
Gm14421,1.9028827941855275,0.014446457875383243,NA,NA,NA,NA,Gm14421,TRUE,FALSE,FALSE,TRUE,1.9028827941855275,FALSE,TRUE,2.3494246771241425
Gm43658,1.902489449217292,0.020613000289203733,NA,NA,NA,NA,Gm43658,TRUE,FALSE,FALSE,TRUE,1.902489449217292,FALSE,TRUE,2.3492724319069476
Gm37773,1.900223234218389,0.014446457875383243,NA,NA,NA,NA,Gm37773,TRUE,FALSE,FALSE,TRUE,1.900223234218389,FALSE,TRUE,2.348395287358065
Gm47022,1.894515225599279,0.021766510894438568,NA,NA,NA,NA,Gm47022,TRUE,FALSE,FALSE,TRUE,1.894515225599279,FALSE,TRUE,2.34618598742507
C130023A14Rik,1.8913138091798758,0.030399565611889424,NA,NA,NA,NA,C130023A14Rik,TRUE,FALSE,FALSE,TRUE,1.8913138091798758,FALSE,TRUE,2.344946870676508
Gm48964,1.8710484150735265,0.01887885983388172,NA,NA,NA,NA,Gm48964,TRUE,FALSE,FALSE,TRUE,1.8710484150735265,FALSE,TRUE,2.33710309593318
Gm42873,1.8581356097641748,0.028175431027483468,NA,NA,NA,NA,Gm42873,TRUE,FALSE,FALSE,TRUE,1.8581356097641748,FALSE,TRUE,2.332105160259219
Kcne1l,-1.846146629559159,0.02088906123792651,NA,NA,NA,NA,Kcne1l,TRUE,FALSE,FALSE,TRUE,1.846146629559159,FALSE,TRUE,2.327464793551478
Gm43980,1.8341733865652217,0.029732214229790707,NA,NA,NA,NA,Gm43980,TRUE,FALSE,FALSE,TRUE,1.8341733865652217,FALSE,TRUE,2.322830517973183
Gm47017,1.8299329415818495,0.04520849865576109,NA,NA,NA,NA,Gm47017,TRUE,FALSE,FALSE,TRUE,1.8299329415818495,FALSE,TRUE,2.3211892424526335
C230031I18Rik,1.8298117872856334,0.01807895414127809,NA,NA,NA,NA,C230031I18Rik,TRUE,FALSE,FALSE,TRUE,1.8298117872856334,FALSE,TRUE,2.3211423493597225
C130030K03Rik,1.8293723062037095,0.01445602812772192,NA,NA,NA,NA,C130030K03Rik,TRUE,FALSE,FALSE,TRUE,1.8293723062037095,FALSE,TRUE,2.320972247036892
mt-Ti,1.8249466813396087,0.023358817942350476,NA,NA,NA,NA,mt-Ti,TRUE,FALSE,FALSE,TRUE,1.8249466813396087,FALSE,TRUE,2.3192592971504844
Gm37159,1.817426836732452,0.03896166447964648,NA,NA,NA,NA,Gm37159,TRUE,FALSE,FALSE,TRUE,1.817426836732452,FALSE,TRUE,2.3163487212744944
Gm42842,1.8149900786729614,0.02215598869797458,NA,NA,NA,NA,Gm42842,TRUE,FALSE,FALSE,TRUE,1.8149900786729614,FALSE,TRUE,2.3154055675799583
Gm42635,1.8140284035224583,0.026171891735377935,NA,NA,NA,NA,Gm42635,TRUE,FALSE,FALSE,TRUE,1.8140284035224583,FALSE,TRUE,2.315033348652598
A130050O07Rik,1.8117171783190558,0.02629992911366752,NA,NA,NA,NA,A130050O07Rik,TRUE,FALSE,FALSE,TRUE,1.8117171783190558,FALSE,TRUE,2.314138782784229
4930480K15Rik,1.8054886044005167,0.02381220386944549,NA,NA,NA,NA,4930480K15Rik,TRUE,FALSE,FALSE,TRUE,1.8054886044005167,FALSE,TRUE,2.31172799666614
Gm45262,1.8007029639070273,0.023453529196244237,NA,NA,NA,NA,Gm45262,TRUE,FALSE,FALSE,TRUE,1.8007029639070273,FALSE,TRUE,2.309875701771874
Gm44679,1.8004833709477452,0.04195658252853708,NA,NA,NA,NA,Gm44679,TRUE,FALSE,FALSE,TRUE,1.8004833709477452,FALSE,TRUE,2.3097907077323407
Gm26871,1.797373695080879,0.01615810332181333,NA,NA,NA,NA,Gm26871,TRUE,FALSE,FALSE,TRUE,1.797373695080879,FALSE,TRUE,2.3085870994088875
Gm37205,1.7922840232893478,0.04692247264998135,NA,NA,NA,NA,Gm37205,TRUE,FALSE,FALSE,TRUE,1.7922840232893478,FALSE,TRUE,2.3066171283912635
A730015C16Rik,1.7794433773843668,0.028175431027483468,NA,NA,NA,NA,A730015C16Rik,TRUE,FALSE,FALSE,TRUE,1.7794433773843668,FALSE,TRUE,2.301647122206881
Gm37152,1.7776987717000883,0.03611514392000707,NA,NA,NA,NA,Gm37152,TRUE,FALSE,FALSE,TRUE,1.7776987717000883,FALSE,TRUE,2.300971867931953
