KEY,logFC_lo,FDR_lo,logFC_med,FDR_med,logFC_hi,FDR_hi,SYMBOL,pass_lo,pass_med,pass_hi,pass_any,mean_abs_logFC,dir_consistent,in_GO_focus,score
Ddit4,-0.5038978143148407,0.035959728264375664,-0.33678176079582034,0.152835932632802,-0.3173123422671402,0.2716934164833352,Ddit4,FALSE,FALSE,FALSE,FALSE,0.38599730579260044,FALSE,TRUE,2.1035117214682613
Mthfr,-0.3911890379117393,0.07509065471338512,-0.35392027596793607,0.13886836143933232,-0.4114676809853748,0.15970598959214388,Mthfr,FALSE,FALSE,FALSE,FALSE,0.3855256649550167,FALSE,TRUE,2.1033836224355227
Arrb2,-0.5287453426942306,0.046591738070064,-0.35015377031509587,0.17100180737448148,-0.2775695179922284,0.3842187547119764,Arrb2,FALSE,FALSE,FALSE,FALSE,0.38548954366718496,FALSE,TRUE,2.1033738117879626
Ndufa11,-0.5238838770525547,0.024769283570759592,-0.33577535699975947,0.12222643117373921,-0.2968045726624613,0.24574581044082272,Ndufa11,FALSE,FALSE,FALSE,FALSE,0.38548793557159183,FALSE,TRUE,2.10337337502449
Rpl26,-0.392482148522582,0.02056958335193838,-0.2797718894194521,0.09127387380726085,-0.48279866296165164,0.05619265503433116,Rpl26,FALSE,FALSE,FALSE,FALSE,0.38501756696789524,FALSE,TRUE,2.1032456215342012
Adcy5,-0.4739409293629171,0.043493745015955675,-0.4016258160986652,0.11631709199814302,-0.278372614748565,0.349642883450484,Adcy5,FALSE,FALSE,FALSE,FALSE,0.38464645340338244,FALSE,TRUE,2.1031448260032333
Ska2,0.4769266634041651,0.03190707045790134,0.31111751330437665,0.1507797540532761,0.3657646159271408,0.16940058003898464,Ska2,FALSE,FALSE,FALSE,FALSE,0.38460293087856084,FALSE,TRUE,2.1031330051580315
Wdr55,-0.3842799614107122,0.0764854594872334,-0.3313830365360362,0.14612634289923593,-0.4348913542371884,0.13144490402081124,Wdr55,FALSE,FALSE,FALSE,FALSE,0.3835181173946456,FALSE,TRUE,2.1028383666388075
Srebf1,-0.4783901756387037,0.06982450350694867,-0.5507658548607308,0.09127387380726085,-0.12085796198606147,0.7541013059386527,Srebf1,FALSE,FALSE,FALSE,FALSE,0.38333799749516534,FALSE,TRUE,2.102789445546608
Mrpl24,-0.3839414799994447,0.02594933366896595,-0.34146332867847917,0.08130943056954006,-0.42434572649682245,0.06526909846494117,Mrpl24,FALSE,FALSE,FALSE,FALSE,0.3832501783915821,FALSE,TRUE,2.1027655936208873
Lcat,-0.6820453433147274,0.3691089902154082,-0.20204755496744858,0.8039478662159064,0.2627304736592151,0.7969492297151233,Lcat,FALSE,FALSE,FALSE,FALSE,0.38227445731379706,FALSE,TRUE,2.1025005849186567
Ndufb3,-0.3517258514761483,0.05525141884279596,-0.38760140238637497,0.0866082743420855,-0.40631612165066944,0.10516788171360236,Ndufb3,FALSE,FALSE,FALSE,FALSE,0.38188112517106426,FALSE,TRUE,2.102393754756775
Rpl10,-0.4126164215206174,0.03355502667701849,-0.3760014622014225,0.09056438406117265,-0.35650882110783755,0.13768418421002632,Rpl10,FALSE,FALSE,FALSE,FALSE,0.38170890160995913,FALSE,TRUE,2.1023469783332036
Nop56,-0.462213552577289,0.056948743138985895,-0.29289837852264355,0.23018806607042946,-0.3896698458113388,0.21805278653843116,Nop56,FALSE,FALSE,FALSE,FALSE,0.38159392563709044,FALSE,TRUE,2.102315750522253
Pop4,-0.3490833300796852,0.07220062292500143,-0.27802430759684427,0.16474491147161013,-0.5150409362707857,0.07426495988716678,Pop4,FALSE,FALSE,FALSE,FALSE,0.3807161913157717,FALSE,TRUE,2.1020773553100436
Wapl,0.4667593287310847,0.05207286902001531,0.4506660917768057,0.10311183593079808,0.22452993267446608,0.47834753260877066,Wapl,FALSE,FALSE,FALSE,FALSE,0.38065178439411884,FALSE,TRUE,2.1020598622015
Idh2,-0.38074422739480696,0.05743479554382005,-0.45751478123870815,0.080919652840803,-0.3019032077114865,0.2426605781647018,Idh2,FALSE,FALSE,FALSE,FALSE,0.38005407211500053,FALSE,TRUE,2.101897521796027
Mthfd1,-0.42577461067044897,0.0293205309128812,-0.339709934115346,0.09868939971947113,-0.37327166705866954,0.1142787787406571,Mthfd1,FALSE,FALSE,FALSE,FALSE,0.3795854039481548,FALSE,TRUE,2.1017702301493664
Chchd10,-0.4221647483552857,0.12198598539222509,-0.4244304079801893,0.15400629274941738,-0.2886870016609331,0.43365348093200246,Chchd10,FALSE,FALSE,FALSE,FALSE,0.3784273859988027,FALSE,TRUE,2.1014557090829427
Pomc,-0.640537866130142,0.3113561907265392,-0.3783230777536577,0.5963323870004421,-0.11191424623465096,0.9233269939282539,Pomc,FALSE,FALSE,FALSE,FALSE,0.3769250633728169,FALSE,TRUE,2.1010476738580115
Stub1,-0.41510373064617756,0.037584542833250884,-0.4042105091203698,0.08627825054155334,-0.30987109698782245,0.20428170928113792,Stub1,FALSE,FALSE,FALSE,FALSE,0.3763951122514566,FALSE,TRUE,2.1009037375814312
Rps15,-0.39162635005867763,0.021028646037075008,-0.3300723725154864,0.07536525277096312,-0.4073855634051924,0.05619265503433116,Rps15,FALSE,FALSE,FALSE,FALSE,0.37636142865978545,FALSE,TRUE,2.1008945890192874
Cox6a1,-0.39502009277735084,0.06457512354579832,-0.4454942876576524,0.09056438406117265,-0.2808726349631989,0.3163914350582279,Cox6a1,FALSE,FALSE,FALSE,FALSE,0.3737956717994007,FALSE,TRUE,2.100197721941912
Gpaa1,-0.32753820351874374,0.08975263461092493,-0.4757833786468275,0.07524830699312743,-0.3166099122956565,0.21947136771243295,Gpaa1,FALSE,FALSE,FALSE,FALSE,0.37331049815374256,FALSE,TRUE,2.1000659473588685
Ddx47,-0.443824800321857,0.018454504779964936,-0.30990714906482175,0.08693288001319868,-0.36569938667226953,0.08073191523253903,Ddx47,FALSE,FALSE,FALSE,FALSE,0.3731437786863161,FALSE,TRUE,2.1000206658632594
Cox5b,-0.4685009360018286,0.060642188025738564,-0.3501810759737696,0.17386279374886257,-0.29995587429078174,0.3531213724943993,Cox5b,FALSE,FALSE,FALSE,FALSE,0.37287929542212667,FALSE,TRUE,2.099948831434138
