Gene,logFC,adj.P.Val,sig_up,sig_down
Bub1,1.3350920197252423,0.02386357289135216,TRUE,FALSE
Cenpi,1.579934101775717,0.024698484330860845,TRUE,FALSE
Esco2,1.9410165845892053,0.033941352935390856,TRUE,FALSE
Rpl36-ps12,-1.4070998444671377,0.025319056813610546,FALSE,TRUE
