pathway,gene
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,Flot1
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,Pnkd
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,Arrb2
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,Chrnb2
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_DOPAMINERGIC,Pink1
