pathway,gene
GOBP_AMIDE_METABOLIC_PROCESS,Lrp1
GOBP_AMIDE_METABOLIC_PROCESS,Prnp
GOBP_AMIDE_METABOLIC_PROCESS,Xpnpep1
GOBP_AMIDE_METABOLIC_PROCESS,Mccc2
GOBP_AMIDE_METABOLIC_PROCESS,Carns1
GOBP_AMIDE_METABOLIC_PROCESS,Apeh
GOBP_AMIDE_METABOLIC_PROCESS,Gstp-ps
GOBP_AMIDE_METABOLIC_PROCESS,Ntrk2
GOBP_AMIDE_METABOLIC_PROCESS,Sptlc2
GOBP_AMIDE_METABOLIC_PROCESS,Nt5c2
GOBP_AMIDE_METABOLIC_PROCESS,Hagh
GOBP_AMIDE_METABOLIC_PROCESS,Fh1
GOBP_AMIDE_METABOLIC_PROCESS,Pla2g6
GOBP_AMIDE_METABOLIC_PROCESS,Prep
GOBP_AMIDE_METABOLIC_PROCESS,Hexb
GOBP_AMIDE_METABOLIC_PROCESS,Coasy
GOBP_AMIDE_METABOLIC_PROCESS,Sphk2
GOBP_AMIDE_METABOLIC_PROCESS,Lrp4
GOBP_AMIDE_METABOLIC_PROCESS,Shmt1
GOBP_AMIDE_METABOLIC_PROCESS,Pla2g4e
GOBP_AMIDE_METABOLIC_PROCESS,Bin1
GOBP_AMIDE_METABOLIC_PROCESS,Neu4
GOBP_AMIDE_METABOLIC_PROCESS,Acacb
GOBP_AMIDE_METABOLIC_PROCESS,Pank1
GOBP_AMIDE_METABOLIC_PROCESS,Ppcdc
GOBP_AMIDE_METABOLIC_PROCESS,Gstt3
GOBP_AMIDE_METABOLIC_PROCESS,Degs2
GOBP_AMIDE_METABOLIC_PROCESS,Gsk3a
GOBP_AMIDE_METABOLIC_PROCESS,Ncstn
GOBP_AMIDE_METABOLIC_PROCESS,Bckdk
GOBP_AMIDE_METABOLIC_PROCESS,Furin
GOBP_AMIDE_METABOLIC_PROCESS,St8sia3
GOBP_AMIDE_METABOLIC_PROCESS,Mlycd
GOBP_AMIDE_METABOLIC_PROCESS,Elovl5
GOBP_AMIDE_METABOLIC_PROCESS,Ctsl
GOBP_AMIDE_METABOLIC_PROCESS,Gstz1
GOBP_AMIDE_METABOLIC_PROCESS,Pdzd11
GOBP_AMIDE_METABOLIC_PROCESS,Degs1
GOBP_AMIDE_METABOLIC_PROCESS,Acot8
GOBP_AMIDE_METABOLIC_PROCESS,Gstm4
GOBP_AMIDE_METABOLIC_PROCESS,Arg2
GOBP_AMIDE_METABOLIC_PROCESS,Hal
GOBP_AMIDE_METABOLIC_PROCESS,Pcsk2
GOBP_AMIDE_METABOLIC_PROCESS,Ormdl2
GOBP_AMIDE_METABOLIC_PROCESS,Ggt5
GOBP_AMIDE_METABOLIC_PROCESS,Cers4
GOBP_AMIDE_METABOLIC_PROCESS,Gstm5
GOBP_AMIDE_METABOLIC_PROCESS,Trp53
GOBP_AMIDE_METABOLIC_PROCESS,Prkcd
GOBP_AMIDE_METABOLIC_PROCESS,Gsto2
GOBP_AMIDE_METABOLIC_PROCESS,Pdk2
GOBP_AMIDE_METABOLIC_PROCESS,Amdhd1
GOBP_AMIDE_METABOLIC_PROCESS,Mvd
GOBP_AMIDE_METABOLIC_PROCESS,Aass
GOBP_AMIDE_METABOLIC_PROCESS,Ormdl3
GOBP_AMIDE_METABOLIC_PROCESS,St3gal3
GOBP_AMIDE_METABOLIC_PROCESS,Neu1
GOBP_AMIDE_METABOLIC_PROCESS,Nat8f7
GOBP_AMIDE_METABOLIC_PROCESS,Rela
GOBP_AMIDE_METABOLIC_PROCESS,Pm20d2
GOBP_AMIDE_METABOLIC_PROCESS,Pdha1
GOBP_AMIDE_METABOLIC_PROCESS,St6gal1
