pathway,gene
GOBP_QUINONE_METABOLIC_PROCESS,Coq2
GOBP_QUINONE_METABOLIC_PROCESS,Pdss2
GOBP_QUINONE_METABOLIC_PROCESS,Coq5
GOBP_QUINONE_METABOLIC_PROCESS,Ndufa9
GOBP_QUINONE_METABOLIC_PROCESS,Aifm2
GOBP_QUINONE_METABOLIC_PROCESS,Coq9
GOBP_QUINONE_METABOLIC_PROCESS,Coq7
GOBP_QUINONE_METABOLIC_PROCESS,Coq8a
GOBP_QUINONE_METABOLIC_PROCESS,Coq8b
GOBP_QUINONE_METABOLIC_PROCESS,Coq6
GOBP_QUINONE_METABOLIC_PROCESS,Coq4
GOBP_QUINONE_METABOLIC_PROCESS,Rtn4ip1
