pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00386451466242328,0.00644085777070546,-0.399737259990408,-1.56189819966221,16,102,Ppp1ca|Akt1|Mknk2|Cfl1|Arhgdia|Tiam1|Grk2|Csnk2b|Sqstm1|Ppp2r1b|Arpc3|Itpr2|Tsc2|Cdk4|Pfn1|Ecsit|Calr|Hras|Arf1|Nfkbib|Lck|Tnfrsf1a|Cxcr4|Trib3|Dusp3|Gna14|Pak4|Ptpn11|Akt1s1,Lo_vs_PBS
HALLMARK_COMPLEMENT,0.00496923805016564,0.00801490008091232,-0.338221350535821,-1.4328658950023,20,174,Spock2|Calm3|Hspa1a|Gnai2|Gnb2|Csrp1|Anxa5|Kcnip3|Atox1|Ctsd|Lgmn|Fyn|Pfn1|Clu|Klk1|Serpine1|Sirt6|Lck|Gpd2|C2|Ppp4c|Psen1|C3|Prss36|Dusp5|Mmp15|Ctsb|Rabif|Ehd1|Mmp14|Rce1|Lgals3|Tnfaip3|Lrp1|Xpnpep1|Timp2|Prep|Irf1|Dusp6|Casp9|Src|Msrb1|Prdm4|C1qa|Mmp12|Gng2|Itgam|Rnf4|Ctsl|Maff|Dock9|Hpcal4|Gp9|Prkcd|Notch4|Serping1|Brpf3|Pla2g7|Usp8|Rhog|Kcnip2|Gnb4|Fcer1g|C1qc|Ang|Grb2|Ctss|Sh2b3|Scg3|Plat,Lo_vs_PBS
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0162097735399285,0.0253277711561383,-0.316286120320413,-1.34392101027426,67,180,Psme1|Psmb2|Vamp8|Rbck1|Nfkbia|Ifitm2|Ogfr|Cd74|Psme2|Ptpn1|Slc25a28|Ly6e|Ifi30|Znfx1|Pfkp|Stat3|Socs3|Mvp|Trim26|Trafd1|Psma3|H2-DMa|Helz2|Irf8|Tapbp|Gch1|Txnip|Pde4b|Psmb10|Lgals3bp|Il4ra|Tnfaip3|St3gal5|Irf1|Irf5|Il10ra|Slamf7|H2-Aa|Trim14|Nfkb1|Ncoa3,Lo_vs_PBS
HALLMARK_APICAL_SURFACE,0.0222513089005236,0.0337141043947327,-0.447501699387652,-1.49730114100011,101,42,Hspb1|Flot2|Adipor2|Ephb4|App|Cx3cl1|Tmem8b|Rtn4rl1|Thy1|Crocc|Scube1|Dcbld2|Crybg1,Lo_vs_PBS
HALLMARK_MITOTIC_SPINDLE,0.0291845493562232,0.0429184549356223,0.313068108488483,1.29907779043675,169,198,Sorbs2|Cd2ap|Kif20b|Ccdc88a|Arhgap5|Arfgef1|Smc4|Rock1|Fgd4|Wasf1|Rapgef5|Marcks|Kif15|Wasl|Tlk1|Hook3|Cdc42bpa|Pcm1|Cenpf|Bub1|Sos1|Top2a|Rasa1|Nin|Pafah1b1|Cdc27|Cep57|Kif5b|Rabgap1|Tubgcp5|Kntc1|Ppp4r2|Lats1|Abi1|Kif4|Nusap1|Rapgef6|Kifap3|Anln|Ect2|Prc1|Cdk1,Lo_vs_PBS
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0383660573234033,0.0548086533191476,-0.361497976833068,-1.35312473241831,169,77,Tnfrsf12a|Cd9|Ptpn1|Stat3|Socs3|Ltbr|Il17ra|Tnfrsf1a|Acvr1b|Il6st|Il4ra|Ptpn11|Ebi3|Cd44|Irf1|Bak1|Hax1|A2m|Il3ra|Csf1|Pdgfc|Tyk2|Il10rb|Hmox1|Cd14|Tnfrsf21|Pf4|Grb2|Cxcl13|Csf2ra|Itgb3|Il15ra|Ccr1|Ltb|Fas|Irf9,Lo_vs_PBS
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0426347845702684,0.0592149785698173,-0.343105288036818,-1.31973174545027,188,91,Psme1|Ifitm2|Ogfr|Cd74|Psme2|Slc25a28|Ly6e|Gmpr|Ifi30|Trim26|Trafd1|Psma3|Helz2|Mov10|Txnip|Nub1|Mvb12a|Lgals3bp|Il4ra,Lo_vs_PBS
HALLMARK_NOTCH_SIGNALING,0.0506302072206793,0.068419198946864,-0.454563507524018,-1.42497705381493,236,31,Aph1a|Psen2|Kat2a|Fzd1|Notch1|Rbx1|Notch3|Dtx1|Notch2|Dtx2|Dll1,Lo_vs_PBS
HALLMARK_HEDGEHOG_SIGNALING,0.0686337395766517,0.0903075520745417,-0.422557339956652,-1.35590186481405,320,34,Tle3|Ache|Ldb1|Slit1|Rtn1|Myh9|Ets2|Thy1|Celsr1|Vegfa|Crmp1|Adgrg1|L1cam,Lo_vs_PBS
HALLMARK_E2F_TARGETS,0.101250642453315,0.126563303066644,0.286441960714813,1.18609709206306,590,194,Hells|Psip1|Diaph3|Smc4|Dek|Hmmr|Donson|Melk|Dck|Xpo1|Eed|Asf1a|Atad2|Rad21|Plk4|Smc6|Top2a|Pds5b|Stag1|Syncrip|Hnrnpd|Ung|Prkdc|Ipo7|Tmpo|Kif4|Rrm2|Usp1|Mki67|Orc2|Cdk1|Chek1|Cdkn1b|Mad2l1|Spc25|Kif18b|Cks2|Tfrc|Depdc1a|Brca2|Ccp110|Nbn|Mms22l|Tipin,Lo_vs_PBS
HALLMARK_PANCREAS_BETA_CELLS,0.0989104892117069,0.126563303066644,-0.422965894788453,-1.31590111188712,462,30,Syt13|Stxbp1|Srp14|Chga|Gck|Scgn,Lo_vs_PBS
HALLMARK_TGF_BETA_SIGNALING,0.117996044825313,0.143897615640626,-0.354675647473596,-1.24610888789349,536,53,Ppp1ca|Id3|Ppp1r15a|Smad3|Id1|Fnta|Tgif1|Id2|Serpine1|Ski|Ctnnb1|Cdk9|Pmepa1|Junb|Ltbp2|Bcar3|Smad7|Hdac1|Furin,Lo_vs_PBS
HALLMARK_ALLOGRAFT_REJECTION,0.124106717484516,0.147746092243472,-0.274076916808957,-1.15685183749114,520,171,Rps9|Rps3a1|Akt1|Cd74|Apbb1|Ache|Flna|Eif5a|Cartpt|Ccnd3|Il16|Eif3d|H2-DMa|Itgb2|Irf8|Thy1|Tapbp|Lck|C2|Csk|Cd4|Psmb10|Inhbb|Tap2|Il4ra|Nlrp3|Rpl9,Lo_vs_PBS
HALLMARK_INFLAMMATORY_RESPONSE,0.153535832937826,0.178530038299798,-0.266155967830057,-1.13201270131643,646,181,Nfkbia|Tnfrsf9|Ly6e|Tacr1|Best1|Pvr|Cx3cl1|Slc7a1|Adrm1|Mxd1|Gpc3|Serpine1|P2rx4|Tapbp|Lck|Psen1|Gch1|Nmur1|Pdpn|Pde4b|Acvr1b|Mmp14|Btg2|Il4ra|Ebi3|Nlrp3|Irf1|Slc11a2|Dcbld2|Il10ra|Axl|Myc|Slamf1|Ros1|Adm|Nfkb1|Tpbg|Irak2|Csf1|Edn1|Cd82|Rgs1|Rela|Scn1b|Rhog|P2ry2|Icosl|Cd14,Lo_vs_PBS
HALLMARK_KRAS_SIGNALING_DN,0.171529411764706,0.194919786096257,-0.269223743294051,-1.12823548393269,728,160,Clstn3|Nr4a2|Myh7|Gprc5c|Kcnq2|Mthfr|Kcne2|Tenm2|Grid2|Atp4a|Fggy|Btg2|Cpa2|Kcnd1|Dcc|Thnsl2|Htr1d|Scn10a|Gamt|Sphk2|Celsr2|Pcdhb1|Coq8a|Krt1|Gdnf|Dtnb|Mfsd6|Edn1|Sgk1|Magix|Fgf16|Pdk2|P2rx6|Sstr4|Sidt1|Ribc2|Klk8|Cacna1f|Zc2hc1c|Ntf3|Gpr19|Edar|Prodh|Ckm|Slc25a23|Itgb1bp2|Snn|Gpr3|Prop1|Cyp39a1|Edn2,Lo_vs_PBS
HALLMARK_PROTEIN_SECRETION,0.192755961986731,0.214173291096368,0.305648705274198,1.14980709594788,1074,93,Arfgef1|Vamp4|Adam10|Snap23|Stam|Ap3s1|Cav2|Yipf6|Tmx1|Lamp2|Copb1|Dnm1l|Ap1g1|Bet1|Lman1|Rps6ka3|Rab5a|Cltc|Scamp1|Sgms1|Uso1|Cln5|Ctsc|Tpd52|Rab2a|Rab14|Bnip3,Lo_vs_PBS
HALLMARK_KRAS_SIGNALING_UP,0.282613880276652,0.307189000300708,-0.247253360268257,-1.05819201812385,1184,192,Spry2|Gadd45g|Fuca1|Ppp1r15a|Tspan1|Sparcl1|Cidea|Epb41l3|Ank|Spon1|Prelid3b|Tmem176b|Pcsk1n|Gprc5b|Ace|Id2|Ptprr|Itgb2|Irf8|Tmem158|Ephb2|Dnmbp|Prkg2|Trib1|Cxcr4|Wdr33|Tnfaip3|Map7|Jup|Dusp6|Reln|Dcbld2|Il10ra|Tmem176a|Cbx8|Mall|Ano1|Akt2|Lcp1|G0s2|Aldh1a2|Klf4|Kcnn4|Mmp11|Aldh1a3|F2rl1|St6gal1|Tspan7|Scn1b|Scg5|Gfpt2|Flt4|Bpgm|Yrdc|Ppbp|Nr0b2|Fcer1g|Map3k1|Ctss|Rgs16|Scg3|Plat,Lo_vs_PBS
HALLMARK_ANDROGEN_RESPONSE,0.330178048230787,0.351253242798709,-0.272605860348142,-1.05417903509824,1464,94,Xrcc5|Akt1|Ube2i|Sord|Tmem50a|Srf|Ccnd3|Ank|Adrm1|Krt8|Pdlim5|Dbi|Rrp12|Pmepa1|Abcc4|Xrcc6|Actn1|Map7|Gpd1l|Pa2g4|Tsc22d1|Rab4a|Dhcr24|Elovl5|Ptk2b|Sgk1|Krt19|H1f0|Aldh1a3,Lo_vs_PBS
HALLMARK_UV_RESPONSE_DN,0.504888268156425,0.525925279329609,0.245250191412486,0.979136301489428,2891,142,Nipbl|Celf2|Pten|Prkar2b|Cdc42bpa|Inpp4b|Acvr2a|Mios|Nek7|Efemp1|Atrx|Wdr37|Nr3c1|Vldlr|Kcnma1|Plcb4|Bmpr1a|Sfmbt1|Col11a1|Cdkn1b|Togaram1|Ythdc1|Ptgfr|Atp2c1,Lo_vs_PBS
HALLMARK_ANGIOGENESIS,0.534958306606799,0.545875823068163,-0.297431627879089,-0.95439851769539,2501,34,Lrpap1|Fgfr1|App|Jag2|Msx1|Vegfa,Lo_vs_PBS
HALLMARK_SPERMATOGENESIS,0.914627612073584,0.914627612073584,0.20571054565266,0.793115857405944,5120,110,Snap91|Strbp|Bub1|Spata6|Slc12a2|Pias2|Sirt1|Arl4a|Agfg1|Cdk1|Mllt10|Gad1|Gmcl1|Dbf4|Rfc4|Ttk|Camk4|Stam2|Oaz3|Clgn|Topbp1|Gapdhs|Kif2c|Dmc1|Mlf1|Ccnb2|Znrf4|Zpbp|Cdkn3|Ncaph|Rad17|Pdha2|Ide|Ezh2,Lo_vs_PBS
