pathway,gene
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Chst12
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Nagpa
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Galnt18
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Vegfb
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Tnip1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Gcnt4
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Man1c1
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Fkrp
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Chpf2
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,Large1
