pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_FATTY_ACID_METABOLISM,0.000261574679571018,0.000721178116571231,-0.546492841669409,-2.26101600601919,0,146,Mif|Ncaph2|Aldh3a1|Erp29|Aldoa|Ldha|Fh1|Cbr1|Hsd17b4|Idh3g|Hsd17b10|Mcee|Gabarapl1|Mdh2|Apex1|Mdh1|Suclg2|Cryz|Sdhc|Uros|Idh3b|Psme1|Acadvl|Odc1|Sdhd|Acaa1a|Gcdh|Etfdh|Sdha|Aco2|Acsl5|Suclg1|Urod|Rdh11|Cidea|D2hgdh|Eno2|Dlst|Ostc|Cyp1a1|Pdha1|Hsp90aa1|Acsl1|Aldh1a1|Nthl1|Prdx6|Kmt5a|Ywhah|Ech1|Acox1|Adsl|Elovl5|Dhcr24|Gpd2|Fasn|Hsph1|Hadhb|G0s2|Acot8|Alad|Maoa|Echs1|Adipor2|Eci1|S100a10|Aadat|Hadh|Bphl|Ephx1|Nsdhl|Cpt2|Bckdhb|Retsat|Cpt1a,Hi_vs_PBS
HALLMARK_DNA_REPAIR,0.00026048450117218,0.000721178116571231,-0.566469751458024,-2.34229196925259,0,145,Impdh2|Edf1|Polr1d|Ncbp2|Aprt|Polr2e|Alyref|Guk1|Vps37b|Polr1c|Ddb1|Polr2c|Surf1|Eif1b|Dad1|Polr2j|Polr2f|Polr2h|Rbx1|Bcam|Npr2|Bcap31|Dut|Rfc3|Ssrp1|Supt4a|Vps28|Snapc5|Rfc2|Polr2i|Supt5|Nelfe|Nt5c|Pde4b|Gtf2f1|Pcna|Dguok|Nme1|Taf10|Sf3a3|Ercc1|Polr2d|Sec61a1|Usp11|Polr3gl|Aaas|Nudt9|Zwint|Tarbp2|Gpx4|Pola2|Polb|Polr2g|Ak1|Nfx1|Lig1|Umps|Polr2k|Polr3c|Snapc4|Ada|Nelfcd|Ercc8|Ercc3,Hi_vs_PBS
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.000247586036147561,0.000721178116571231,-0.603415566575507,-2.36031431710026,0,103,Tubb2a|Pop4|Bag3|Eif4a1|Exosc5|Banf1|Eef2|Lsm4|Nhp2|Nop56|Exosc2|Asns|Nop14|Atf3|Calr|Sec11a|Ddit4|Yif1a|Aldh18a1|Nolc1|Edc4|Eif4a3|Eif4g1|Imp3|Tatdn2|Spcs1|Atp6v0d1|Slc7a5|Npm1|Gosr2|Hyou1|Atf4|Parn|Dkc1|Pdia6|Zbtb17|Arfgap1|Hspa9|Hsp90b1|Eif4a2|Exosc10|Tspyl2|Srprb|Dctn1|Ern1|Gemin4|Wfs1|Exosc9|Cks1b|Psat1|Atf6|Preb|Nfya|Rps14|Sdad1|Hspa5|Exosc4|Cxxc1,Hi_vs_PBS
HALLMARK_MTORC1_SIGNALING,0.000271296798697775,0.000721178116571231,-0.562212321653719,-2.40409494649995,0,189,Hspe1|Ppia|Tuba4a|G6pdx|M6pr|Aldoa|Ldha|Pgk1|Rpn1|Abcf2|Ppa1|Ykt6|Tpi1|Psma4|Serpinh1|Pdap1|Gla|Psmc4|Got1|Psmg1|Pfkl|Txnrd1|Acly|Fkbp2|Tmem97|Nfil3|Psmb5|Asns|Calr|Sec11a|Hspd1|Ddit4|Psma3|Cd9|Ppp1r15a|Phgdh|Tomm40|Slc7a5|Arpc5l|Ebp|Psmd13|Psmc2|Sqstm1|Rdh11|Rit1|P4ha1|Gpi1|Cxcr4|Sdf2l1|Nup205|Rpa1|Nmt1|Nfkbib|Stip1|Gbe1|Ifi30|Mllt11|Qdpr|Immt|Sqle|Cyp51|Elovl5|Shmt2|Dhcr24|Hspa9|Hsp90b1|Slc2a1|Slc1a5|Ifrd1|Atp6v1d|Lgmn|Adipor2|Pik3r3|Sord|Psat1|Gga2|Nufip1|Fads2|Cct6a|Ldlr|Canx|Tm7sf2|Tbk1|Slc2a3|Hspa5|Hmgcr|Cyb5b|Mcm2|Coro1a|Tubg1|Acaca,Hi_vs_PBS
HALLMARK_MYC_TARGETS_V1,0.000272702481592583,0.000721178116571231,-0.706762140924094,-3.02214364588382,0,190,Rpl14|Rack1|Rps3|Rplp0|Eef1b2|Rpl18|Hspe1|Ppia|Rps5|Rps6|Cct7|Fbl|Impdh2|Rpl6|Hsp90ab1|Snrpd2|Ran|Cct5|Snrpg|Pole3|Eif4a1|Mrps18b|Ldha|Pgk1|Xrcc6|Cct2|Vdac3|Ncbp2|Rpl22|Ywhaq|Cct3|Psma4|Rps2|Tufm|Txnl4a|Phb2|Psmb2|Psmc4|Clns1a|Ppm1g|Sf3b3|Got2|Psmd8|Nhp2|Apex1|Nop56|Psma7|Eif4h|Cdk4|Eif3d|Slc25a3|Tcp1|Nop16|Glo1|Hspd1|Rad23b|Ywhae|Nolc1|Mrpl23|Psmb3|Hnrnpa1|Hdgf|Bub3|Dut|Psmd3|Erh|Odc1|Srpk1|Prpf31|Kpnb1|Psma2|Snrpd1|G3bp1|Psmd1|Npm1|Pold2|Pwp1|Pcna|Ilf2|Pa2g4|Eif3b|Nme1|Uba2|Gm10146|Aimp2|Psma6|Pabpc4|C1qbp|Snrpa|Psmd7|Prdx4|Cct4,Hi_vs_PBS
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000268817204301075,0.000721178116571231,-0.72969475598225,-3.10350461851993,0,182,Ndufs8|Uqcr10|Uqcrb|Ndufa1|Cox6b1|Atp6v1f|Cox7a2l|Ndufa3|Cox4i1|Slc25a5|Mrps12|Ldha|Ndufb3|Ndufb6|Vdac3|Fh1|Uqcrc1|Ndufv1|Timm13|Uqcrh|Uqcr11|Phb2|Cox7c|Hadha|Idh3g|Sdhb|Ndufs2|Hsd17b10|Got2|Ndufs6|Surf1|Mdh2|Cox7a2|Ndufa2|Ndufs3|Mrpl15|Mrpl11|Mdh1|Ndufa8|Sdhc|Atp6v0e|Cox8a|Slc25a3|Polr2f|Ndufs1|Idh3b|Uqcrc2|Grpel1|Mrpl34|Atp6v0c|Ogdh|Atp6ap1|Slc25a4|Vdac2|Timm10|Idh2|Slc25a11|Etfb|Ndufa7|Acadvl|Ndufs7|Ndufa9|Sdhd|Bdh2|Slc25a12|Acaa1a|Mfn2|Pmpca|Etfdh|Iscu|Sdha|Cyb5r3|Ndufb7|Cox6a1|Uqcrq|Aco2|Tomm22|Suclg1|Mrps11|Atp6v0b|Cox5b|Mpc1|Timm17a|Gpi1|Dlst|Ndufa6|Pdha1|Ndufc1|Mgst3|Timm50|Atp6v1e1|Immt|Idh3a|Cs|Htra2|Bckdha|Ndufa4|Cox7b|Ech1|Ndufb5|Gpx4|Cyb5a|Cox5a|Vdac1|Hspa9|Atp6v1c1,Hi_vs_PBS
HALLMARK_APOPTOSIS,0.000527287107830214,0.00128111508256787,-0.388584522217692,-1.62344335672826,1,157,Tnfrsf12a|Psen2|Sod1|Gstm2|Plat|Nedd9|Bcl10|Lgals3|Atf3|Vdac2|Bcap31|Ctnnb1|Lmna|Gadd45b|Add1|Gadd45a|Ebp|App|Hspb1|Sqstm1|Psen1|Txnip|Eno2|Gpx1|Tspo|Clu|Pea15a|H1f0|Krt18|Gpx4|Ppp2r5b|Bcl2l11|Rela|Bid|Il1b|Pak1|Ifitm3|Madd|Il18|Timp1|Gch1|Bcl2l1|Irf1|Ppt1|Ereg|Bcl2l2|Timp2|Retsat|Erbb2|Igf2r|Cd2|Mcl1|Erbb3|Fez1|Lef1|Plppr4,Hi_vs_PBS
HALLMARK_HEME_METABOLISM,0.000538068334678504,0.00128111508256787,-0.384188081795421,-1.63059119330329,1,180,Mfhas1|Cdr2|Myl4|Prdx2|Agpat4|Mxi1|Fbxo34|Ank1|Dcaf11|Bsg|Slc10a3|Gde1|Uros|Asns|Hagh|Sec14l1|Bcam|Rcl1|Rnf123|Slc25a38|Hdgf|Ctsb|Adipor1|Add1|Mkrn1|Pigq|Urod|Optn|Clcn3|Rad23a|Lrp10|Nfe2l1|Ezh1|Blvrb|Mgst3|Htatip2|C3|Htra2|Ell2|Ncoa4|H1f0|Smox|Ppp2r5b|Acsl6|Arl2bp,Hi_vs_PBS
HALLMARK_ALLOGRAFT_REJECTION,0.000808843354003775,0.0016850903208412,-0.36455901773221,-1.53564590810498,2,171,Rps3a1|Rps9|H2-Ob|Cd74|Eif5a|Rpl9|Cartpt|Bcl10|H2-Aa|Eif3d|Rpl39-ps|Apbb1|Akt1|Ly86|Flna|Ccr1|Npm1|Ctss|Nme1|Cdkn2a|Il2rb|Nos2|Crtam|Il4ra|Degs1|Ncf4|H2-DMa|Rpl3l|Il1b|Ccl5|Il18|Thy1|Cd4|Lif|Timp1|Eif4g3|Elf4|Ltb|Il18rap|Lck|Dyrk3,Hi_vs_PBS
HALLMARK_ESTROGEN_RESPONSE_LATE,0.000807102502017756,0.0016850903208412,-0.365242285427607,-1.55018045134819,2,180,Siah2|Mest|Ckb|Gla|Fkbp4|Rps6ka2|Itpk1|Lamc2|Kcnk5|Fabp5|Lsr|Cxcl14|Rapgefl1|Il6st|Idh2|Etfb|Cd9|Hr|Hspb8|Tiam1|Nab2|Emp2|Slc29a1|Slc7a5|Amfr|Rnaseh2a|Gale|Chst8|Fdft1|Gper1|Zfp36|Arl3|Flnb|Pcp4|Gal|Acox2|Nmu|Blvrb|Perp|Tpbg|Aldh3b1|Elovl5|Dcxr|Id2|Sfn|Krt19|Mapt|Bag1|Slc24a3|Ppif|Aff1|Wfs1|Mocs2|Sord|Mapk13|Prss23|Dusp2|Plxnb1,Hi_vs_PBS
