pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,contrast
HALLMARK_MTORC1_SIGNALING,0.0202945990180033,0.0551632833186231,0.324810514126359,1.34248173903287,123,189,Ccng1|Asns|Idi1|Prdx1|Idh1|Rpn1|Ifrd1|Slc1a5|Rab1a|Uso1|Ssr1|Hsp90b1|Vldlr|Plod2|Sdf2l1|Ctsc|Psmd13|Ak4|Ufm1|Cacybp|Serp1|Cops5|Eif2s2|Actr2|Psmc6|Elovl6|Gmps|Eef1e1|Tcea1|Actr3|Hspa9|Pgm1|Mthfd2|Pik3r3|Gbe1|Ube2d3|Rit1|Cct6a|Etf1|Bub1|Dhfr|Psat1|Xbp1|Stard4|Canx|Ung|Psmd14|Pno1|Pnp|Ppa1,Lo_vs_Hi
HALLMARK_KRAS_SIGNALING_UP,0.0225814729278933,0.0551632833186231,-0.298548644775357,-1.29465665358341,87,192,Tmem158|Spon1|Ace|Gprc5b|Pcsk1n|Prkg2|Spry2|Ank|Itgb2|Ano1|Dusp6|Ptprr|Sparcl1|Irf8|Trib1|Etv1|Dnmbp|Epb41l3|Gfpt2|Fcer1g|Adam8|Adgra2|Flt4|Rgs16|Tspan1|Igf2|Strn|Scn1b|Map4k1|Tnfaip3|Csf2ra|Tmem176b|Dcbld2|Plau|Mmp11|Klf4|Aldh1a3|Etv5|Ppp1r15a|Cidea|Id2|Gabra3|Cfb,Lo_vs_Hi
HALLMARK_MYC_TARGETS_V2,0.0219159511974695,0.0551632833186231,-0.412211798257978,-1.47450320767092,96,57,Map3k6|Rrp9|Sord|Noc4l|Supv3l1|Tbrg4|Grwd1|Imp4|Dusp2|Las1l|Tcof1|Slc19a1|Nop2|Aimp2|Mrto4|Plk1|Bysl|Pes1|Ppan|Ddx18|Mybbp1a|Slc29a2|Nolc1|Myc,Lo_vs_Hi
HALLMARK_APICAL_SURFACE,0.0231685789938217,0.0551632833186231,-0.446012643071917,-1.49915705506745,104,42,Cx3cl1|Rtn4rl1|Hspb1|Tmem8b|Gas1|Flot2|Adipor2|Pcsk9|Scube1|Srpx|Dcbld2|Crocc|Ephb4|Thy1|Mdga1,Lo_vs_Hi
HALLMARK_HEDGEHOG_SIGNALING,0.0205895101863893,0.0551632833186231,-0.478526448090208,-1.53306455528197,94,34,Tle3|Ache|Rtn1|Slit1|Gli1|L1cam|Myh9|Adgrg1|Ldb1|Dpysl2|Cntfr|Vegfa|Thy1|Cdk6|Nrcam,Lo_vs_Hi
HALLMARK_NOTCH_SIGNALING,0.0181268882175227,0.0551632833186231,-0.497298109187269,-1.56363748480725,83,31,Fzd1|Notch1|Maml2|Notch3|Aph1a|Notch2|Dtx4|Wnt5a|Dll1|Dtx1|Arrb1|Sap30|Dtx2,Lo_vs_Hi
HALLMARK_IL2_STAT5_SIGNALING,0.0249229188078109,0.0566429972904793,-0.29959096697162,-1.29517176760995,96,189,Bhlhe40|Scn9a|Plec|Gsto1|Map6|Spry4|Alcam|Ccnd3|P2rx4|Rhob|Irf8|Aplp1|Furin|Csf1|Muc1|Slc2a3|Lrig1|Ahnak|Bcl2l1|Spred2|Pim1|Cdcp1|Myo1e|Rgs16|Snx9|Galm|Cd44|Tnfrsf9|Cdkn1c|Il2ra|Tiam1|Mapkapk2|F2rl2|Gadd45b|Igf1r|Cd81|Il3ra|Nop2|Gabarapl1|Mxd1|Dcps|Capg,Lo_vs_Hi
HALLMARK_HYPOXIA,0.0310017934921855,0.0673952032438815,-0.294835318520024,-1.27265267147291,120,186,Bhlhe40|Sdc3|Mt1|Fos|Slc6a6|Phkg1|Aldoc|Gpc3|Ndst1|Selenbp1|Tgfbi|Kif5a|Lox|Zfp36|Irs2|Ier3|Adm|Gpi1|Dusp1|Ppfia4|Hmox1|Slc37a4|Slc2a3|Ndst2|Sult2b1|Srpx|Myh9|Pim1|Tnfaip3|Vegfa|Tgfb3|Pdgfb|Cdkn1c|Bcan|Gpc1|Ddit4|Ampd3|Ppp1r15a|Slc25a1|Pgf,Lo_vs_Hi
HALLMARK_G2M_CHECKPOINT,0.0510170603674541,0.106285542432196,0.305829797465147,1.26270527657589,310,188,Rbl1|Cdc27|Pafah1b1|Pura|Stag1|Ccnt1|Xpo1|Slc12a2|Rad21|Atrx|Kif5b|Efna5|Pds5b|Dr1|Rps6ka5|Prpf4b|Marcks|Hif1a|Cul3|Cul1|Mtf2|Amd1|Wrn|Cul5|Cdc7|Traip|Casp8ap2|Syncrip|Cenpa|Smc2|Dkc1|Srsf10|Cdkn1b|Bub1|Tmpo|Troap|Orc5|Plk4|Snrpd1|Ndc80|Mad2l1|Pbk|Top2a,Lo_vs_Hi
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0628453038674033,0.125690607734807,-0.34333084426651,-1.30245333074904,272,77,Ebi3|Socs3|Ltbr|A2m|Hmox1|Csf1|Acvr1b|Tyk2|Il7|Pim1|Cntfr|Ptpn1|Csf2ra|Cd44|Grb2|Tnf|Il2ra|Ptpn11|Crlf2|Il3ra|Cd9|Tgfb1|Cxcl13|Tnfrsf1a|Stat3|Il17ra|Acvrl1|Osmr|Cbl|Pdgfc|Irf1|Cd14|Ifngr1|Ccl7,Lo_vs_Hi
HALLMARK_UV_RESPONSE_DN,0.0658857979502196,0.126703457596576,-0.297208694657446,-1.24341527361999,269,142,Dbp|Bhlhe40|Mt1|Tgfbr3|Smad7|Runx1|Id1|Pdlim5|Atrn|Arhgef9|Pik3cd|Syne1|Slc22a18|Fyn|Lamc1|Dusp1|Notch2|Lpar1|Sipa1l1|Rxra|Zmiz1|Abcc1|Kalrn|Ltbp1|Pias3|Gja1|Tent4a|Igfbp5|Prdm2|Pex14|Kit|Smad3|Igf1r|Dab2|Ptprm,Lo_vs_Hi
HALLMARK_INFLAMMATORY_RESPONSE,0.0747185261003071,0.138367640926495,-0.281761750562756,-1.21206670260841,291,181,Nlrp3|Cx3cl1|Nmur1|Gpc3|Best1|Btg2|Icosl|P2rx4|Tapbp|Ebi3|Adm|Pdpn|Slc4a4|Adrm1|Lpar1|Fpr1|Csf1|Axl|Acvr1b|Gabbr1|Hpn|Rgs16|Scn1b|Itga5|Aqp9|Raf1|Slc28a2|Ndp|Rhog|Ros1|Dcbld2|Tnfrsf9|Lck,Lo_vs_Hi
HALLMARK_UV_RESPONSE_UP,0.0928624351691776,0.165110099299156,-0.285131201844567,-1.19893307305094,375,150,Clcn2|Fos|Alas1|Junb|Cck|Ephx1|Lhx2|Dlg4|Ccnd3|Btg2|Nptx2|Mark2|Prpf3|Rhob|Plcl1|Klhdc3|Tmbim6|Hmox1|Furin|Dgat1|Prkaca|Wiz|Cxcl1|Tgfbrap1|Grina|Selenow|Arrb2|Sqstm1|Cdkn1c|Rxrb|Nptxr|Mapk8ip2|Gch1|Ago2|Urod|Hspa2|Icam1|Igfbp2|Sult1a1|Kcnh2|Fkbp4|Mgat1|Col2a1|Sod2|Polg2|Bsg,Lo_vs_Hi
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0957638575935106,0.165110099299156,-0.375048450402594,-1.2920148581077,424,48,Junb|Egln2|Mgst1|Ercc2|Hmox2|Prdx6|Ftl1|Abcc1|Gsr|Pdlim1|Ptpa|Prdx2|Sbno2|Srxn1|Sod2|Atox1|Txnrd2|Lsp1,Lo_vs_Hi
HALLMARK_ESTROGEN_RESPONSE_LATE,0.124296675191816,0.207161125319693,-0.269987393100148,-1.16027427973915,485,180,Ascl1|Fos|Cxcl14|Fkbp5|Sord|Scnn1a|Igfbp4|Slc24a3|Slc27a2|Ncor2|Ass1|Zfp36|St14|Mapk13|Tjp3|Ovol2|Cacna2d2|Mettl3|Hmgcs2|Slc22a5|Plxnb1|Sult2b1|Amfr|Llgl2|Lamc2|Flnb|Cd44|Nab2|Klf4|Tiam1|Dusp2|Myof|Th|Jak2|Ltf|Abhd2|Itpk1|Celsr2|Id2|Blvrb|Chst8|Etfb|Farp1|Stil|Klk11|Cd9|Pkp3|Dlg5|Slc29a1|Rnaseh2a|Fkbp4|Slc2a8,Lo_vs_Hi
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.15149441022131,0.244345822937596,-0.322730829351263,-1.19442216772751,663,68,Gldc|Aldoc|Alcam|Hsd17b7|Trib3|Srebf2|Fads2|Lgmn|Pcyt2|Fasn|Ethe1|Abca2|Lss|S100a11|Clu|Mvd|Acat2|Cd9|Mvk|Actg1,Lo_vs_Hi
